Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_3446817929796674;0.2905;0.3347;0.2000;0.3000;0.3000;0.0476;0.1429;0.2857;0.0500;0.1597;0.6774;3;7;0.1015;0.2941;0.6623;Qwen 2.5-1.5B
ID_8265116967095452;0.0636;0.1164;0.0000;0.1000;0.1000;0.0000;0.0667;0.1333;0.0067;0.2517;0.7592;1;4;0.0178;0.2738;0.7843;Qwen 2.5-1.5B
ID_1224532648969159;0.2832;0.2512;0.4000;0.3000;0.2500;0.0526;0.0789;0.1316;0.0351;0.6475;0.7642;3;5;0.0490;0.6896;0.7654;Qwen 2.5-1.5B
ID_3638659317775453;0.6966;0.6151;0.8000;0.7000;0.5500;0.1250;0.2188;0.3438;0.1682;0.6901;0.4397;8;12;0.2529;0.6901;0.6418;Qwen 2.5-1.5B
ID_0263742679377591;0.0796;0.1086;0.0000;0.1000;0.1000;0.0000;0.1000;0.2000;0.0100;0.1789;0.5394;1;2;0.0243;0.2211;0.5934;Qwen 2.5-1.5B
ID_0539134068708725;0.1893;0.1319;0.2000;0.2000;0.1000;0.0455;0.0909;0.0909;0.0205;0.7619;0.4103;7;8;0.0205;0.7798;0.4359;Qwen 2.5-1.5B
ID_7328854929044759;0.2673;0.2800;0.4000;0.2000;0.2000;0.1053;0.1053;0.2105;0.0877;0.3250;0.5987;2;4;0.1132;0.3417;0.6331;Qwen 2.5-1.5B
ID_8457699943400994;0.4978;0.4532;0.4000;0.4000;0.3000;0.1250;0.2500;0.3750;0.1667;0.1545;0.6429;5;7;0.2195;0.3476;0.6835;Qwen 2.5-1.5B
ID_4830182825385638;0.0902;0.0964;0.2000;0.1000;0.1000;0.0526;0.0526;0.1053;0.0132;0.2172;0.6103;2;3;0.0227;0.2980;0.6626;Qwen 2.5-1.5B
ID_1616454163444935;0.2973;0.3614;0.6000;0.3000;0.3500;0.1071;0.1071;0.2500;0.0631;0.6172;0.6398;5;9;0.1118;0.7109;0.6256;Qwen 2.5-1.5B
