Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_8659496864305621;0.1301;0.1053;0.0000;0.2000;0.1000;0.0000;0.1250;0.1250;0.0228;0.1896;0.5191;0.0228;0.2133;0.5173;2;2;Qwen3-1.7B-QLoRA
ID_8696858608013659;0.2935;0.2094;0.2000;0.2000;0.1000;0.0323;0.0645;0.0645;0.0415;0.2344;0.1357;0.0415;0.2344;0.1381;2;2;Qwen3-1.7B-QLoRA
ID_8703127071027272;0.2462;0.1589;0.4000;0.3000;0.1500;0.0465;0.0698;0.0698;0.0229;0.0000;0.1942;0.0229;0.0000;0.1942;3;3;Qwen3-1.7B-QLoRA
ID_8884890472193474;0.2773;0.2482;0.4000;0.2000;0.1000;0.1667;0.1667;0.1667;0.1389;0.2000;0.2420;0.1389;0.2000;0.2420;2;2;Qwen3-1.7B-QLoRA
ID_8970751075617926;0.3437;0.2563;0.6000;0.3000;0.1500;0.1667;0.1667;0.1667;0.1065;0.1174;0.1758;0.1065;0.1174;0.1758;3;3;Qwen3-1.7B-QLoRA
ID_9092587237114334;0.0112;0.0468;0.0000;0.0000;0.0500;0.0000;0.0000;0.0303;0.0000;0.0460;0.2913;0.0028;0.0460;0.2502;1;2;Qwen3-1.7B-QLoRA
ID_9273702863744424;0.7001;0.4914;0.6000;0.7000;0.4000;0.0789;0.1842;0.2105;0.1341;0.1082;0.4508;0.1533;0.1140;0.5024;7;8;Qwen3-1.7B-QLoRA
ID_9274817658247444;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0200;0.2314;0.0000;0.0200;0.2313;0;0;Qwen3-1.7B-QLoRA
ID_9350794843721516;0.2201;0.1537;0.2000;0.1000;0.0500;0.0333;0.0333;0.0333;0.0333;0.0820;0.2848;0.0333;0.0820;0.2848;1;1;Qwen3-1.7B-QLoRA
ID_9430398566741698;0.1682;0.1497;0.2000;0.2000;0.1500;0.0333;0.0667;0.1000;0.0179;0.0290;0.1834;0.0262;0.0352;0.2440;2;3;Qwen3-1.7B-QLoRA
ID_9542837933586912;0.4731;0.4088;0.8000;0.4000;0.2000;0.2857;0.2857;0.2857;0.2857;0.2963;0.2854;0.2857;0.2963;0.2490;4;4;Qwen3-1.7B-QLoRA
ID_9763437636509266;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0481;0.4304;0.0000;0.0481;0.4304;0;0;Qwen3-1.7B-QLoRA
ID_9836776931160228;0.3437;0.2725;0.6000;0.3000;0.1500;0.1667;0.1667;0.1667;0.1065;0.0769;0.2787;0.1065;0.0769;0.2640;3;3;Qwen3-1.7B-QLoRA
ID_9848311210578810;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0009;0.1333;0.0000;0.0009;0.1333;0;0;Qwen3-1.7B-QLoRA
ID_9856332816841794;0.3836;0.2476;0.4000;0.3000;0.1500;0.0541;0.0811;0.0811;0.0514;0.1887;0.3681;0.0514;0.1887;0.3681;3;3;Qwen3-1.7B-QLoRA
